Min,Max,Mean,Vol,fd,key
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
0.670485,1.49143545,0.8346798650000002,0.82095045,12.18100312875156,AUDUSD
